"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio immature",1982,1,1,1445164.06053568,0.176912871492432,192432.776923837
"Opilio immature",1983,1,1,1486539.15014428,0.281006360452657,301632.924085125
"Opilio immature",1984,1,1,5587243.63209593,0.452619417733552,1737029.55321487
"Opilio immature",1985,1,1,1252257.82113572,0.320881292180359,285711.399814316
"Opilio immature",1986,1,1,4336242.90403352,0.342705153975926,1059552.88728391
"Opilio immature",1987,1,1,13261406.7232087,0.191715357647305,2046630.3638993
"Opilio immature",1988,1,1,8381753.59581919,0.20091733598044,1393476.51372074
"Opilio immature",1989,1,1,3790350.13288936,0.176327707615704,549340.464241054
"Opilio immature",1990,1,1,4019914.95404252,0.192927569390998,637657.657505705
"Opilio immature",1991,1,1,8536931.69357418,0.162725957402597,1114979.03977593
"Opilio immature",1992,1,1,9136806.47017888,0.163937245227326,1184189.00797087
"Opilio immature",1993,1,1,14376108.3478683,0.161293288261538,1915929.50364054
"Opilio immature",1994,1,1,13747177.6961492,0.216963508789951,2451392.29313054
"Opilio immature",1995,1,1,8494339.28025819,0.19680746618658,1359097.46958938
"Opilio immature",1996,1,1,1814916.55848863,0.259403033281729,389592.240469797
"Opilio immature",1997,1,1,788401.099972102,0.300297307638112,197997.379952712
"Opilio immature",1998,1,1,1294577.7621468,0.244834389640912,259661.902777376
"Opilio immature",1999,1,1,1006314.07328838,0.207505135324722,168976.668362801
"Opilio immature",2000,1,1,2699378.2661006,0.200108056398244,441999.719215392
"Opilio immature",2001,1,1,2342826.40637338,0.239513798522302,468406.89760609
"Opilio immature",2002,1,1,587010.571696536,0.244289432727537,118264.895212392
"Opilio immature",2003,1,1,2754231.62918038,0.270999223220262,619223.761366618
"Opilio immature",2004,1,1,4589336.27900222,0.168845376492551,638662.424044101
"Opilio immature",2005,1,1,3776632.14282767,0.155260369350679,483460.890425986
"Opilio immature",2006,1,1,2106162.14481634,0.153114198054895,265247.117810077
"Opilio immature",2007,1,1,2122248.01655832,0.171654429563567,295393.160676885
"Opilio immature",2008,1,1,1395608.74840045,0.168692940544287,188758.399767059
"Opilio immature",2009,1,1,3613020.76251627,0.210059671249079,631772.66361096
"Opilio immature",2010,1,1,14030940.9422364,0.193891642913354,2222056.40988168
"Opilio immature",2011,1,1,5094962.83723695,0.197749855706065,823968.506653482
"Opilio immature",2012,1,1,4625207.38093193,0.220019680186312,835040.643333305
"Opilio immature",2013,1,1,3893034.95555279,0.156541238361379,494455.513738001
"Opilio immature",2014,1,1,3189559.34064659,0.151890731799412,393732.037315344
"Opilio immature",2015,1,1,5099794.0026318,0.183826875335815,765267.824460462
"Opilio immature",2016,1,1,7937815.46655416,0.25076270164345,1644272.30152403
"Opilio immature",2017,1,1,13438779.197878,0.212561167026035,2313225.02220304
"Opilio spawner",1982,1,1,5621498.0883093,0.237400929278064,972214.940977775
"Opilio spawner",1983,1,1,3386036.10444584,0.197361095512568,491650.742162843
"Opilio spawner",1984,1,1,1965837.04403712,0.198300055580438,275008.39824964
"Opilio spawner",1985,1,1,513153.544813991,0.251239107730704,86780.2784448496
"Opilio spawner",1986,1,1,1420446.64561671,0.30742592648419,288298.484683365
"Opilio spawner",1987,1,1,5659295.69551858,0.160706351788095,669457.083938315
"Opilio spawner",1988,1,1,5860379.07950493,0.144519641733277,654111.898551928
"Opilio spawner",1989,1,1,9098170.22563867,0.205215884601077,1428127.74631079
"Opilio spawner",1990,1,1,7319801.11320431,0.198660885427241,1083490.23777335
"Opilio spawner",1991,1,1,7174473.99008497,0.17347684516663,938689.338449769
"Opilio spawner",1992,1,1,4633049.6718154,0.147909464544172,521061.723110428
"Opilio spawner",1993,1,1,7452343.46762568,0.170600232553809,953993.689375297
"Opilio spawner",1994,1,1,5095543.02979918,0.142170119971248,556889.082169507
"Opilio spawner",1995,1,1,8084991.21135501,0.137868380920427,856213.362105035
"Opilio spawner",1996,1,1,5172828.20935166,0.184083765299489,720456.227257692
"Opilio spawner",1997,1,1,4081553.74591124,0.181396605963288,576012.07819602
"Opilio spawner",1998,1,1,3068102.90005267,0.256027812325957,597983.177853981
"Opilio spawner",1999,1,1,1845303.79250024,0.2634858335432,360914.953561668
"Opilio spawner",2000,1,1,2655889.77527769,0.238364139224066,482454.974523306
"Opilio spawner",2001,1,1,2923203.23332637,0.179905134105406,398901.675713197
"Opilio spawner",2002,1,1,947818.659929653,0.205168820285515,146228.255526434
"Opilio spawner",2003,1,1,942317.280783017,0.22065712904704,158367.264028433
"Opilio spawner",2004,1,1,2059732.89376555,0.172234660466273,273438.761707454
"Opilio spawner",2005,1,1,2346265.87645382,0.174193702593833,311619.984159003
"Opilio spawner",2006,1,1,1989636.8453262,0.182636454375032,268932.472941881
"Opilio spawner",2007,1,1,3401970.36859488,0.241291065512281,615350.157692425
"Opilio spawner",2008,1,1,1847300.68209581,0.169360800113223,234698.366045075
"Opilio spawner",2009,1,1,3774136.14373494,0.221117714103971,611386.038485978
"Opilio spawner",2010,1,1,4647315.94542267,0.162182159089276,578521.492663489
"Opilio spawner",2011,1,1,7491067.64801803,0.177674109592907,1012757.36709253
"Opilio spawner",2012,1,1,6572605.01729337,0.179468420046438,892580.25268826
"Opilio spawner",2013,1,1,5219101.86829989,0.164294956970645,652744.256482284
"Opilio spawner",2014,1,1,4314384.29818401,0.177414581912573,571470.365715939
