Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2002,1117116,1117337,1126885,200201,88,110,57.65511,-170.23869,57.67261,-170.2498,42,,,,,,,,,0,Y,Good performance,70,72,21720,Pacific cod,Gadus macrocephalus,20.602,23,,,10-Oct-18
EBS_SHELF,2002,1117116,1117339,1126946,200201,88,112,57.98978,-170.34399,58.00747,-170.3107,42,,,,,,,,,0,Y,Good performance,71,73,21720,Pacific cod,Gadus macrocephalus,14.37,20,,,10-Oct-18
EBS_SHELF,2002,1117116,1117340,1126642,200201,88,113,58.31873,-170.3914,58.34402,-170.3777,41,,,,,,,,,0,Y,Good performance,71,73,21720,Pacific cod,Gadus macrocephalus,27.648,38,,,10-Oct-18
EBS_SHELF,2002,1117116,1117347,1126563,200201,88,122,60.3461,-172.07159,60.32128,-172.0638,43,,,,,,,,,0,Y,Good performance,56,59,21720,Pacific cod,Gadus macrocephalus,215.4,287,,,10-Oct-18
EBS_SHELF,2003,1152635,1152770,1155132,200301,89,13,56.70134,-160.3842,56.67603,-160.3878,31,,,,,,,,,0,Y,Good performance,59,61,21720,Pacific cod,Gadus macrocephalus,29.165,95,,,10-Oct-18
EBS_SHELF,2003,1159454,1159557,1161914,200301,88,86,59.33328,-165.96471,59.33625,-165.9131,20,,,,,,,,,0,Y,Good performance,23,25,21720,Pacific cod,Gadus macrocephalus,0.056,4,,,10-Oct-18
EBS_SHELF,2003,1159454,1159562,1162982,200301,88,122,58.987,-168.5345,59.00021,-168.53,20,,,,,,,,,0,Y,Good performance,45,47,21720,Pacific cod,Gadus macrocephalus,6.09,39,,,10-Oct-18
EBS_SHELF,2001,1063015,1063207,1069198,200101,88,42,56.00504,-163.4063,55.97995,-163.4075,31,,,,,,,,,0,Y,Good performance,86,88,21720,Pacific cod,Gadus macrocephalus,134.438,88,,,10-Oct-18
EBS_SHELF,2000,1010675,1010808,1017255,200001,89,209,57.66687,-173.388,57.66713,-173.4369,61,,,,,,,,,0,Y,Good performance,143,143,21720,Pacific cod,Gadus macrocephalus,281.1,46,,,10-Oct-18
EBS_SHELF,2001,1063016,1063292,1072561,200101,89,152,58.3334,-171.0462,58.33355,-170.99789,41,,,,,,,,,0,Y,Good performance,82,85,21720,Pacific cod,Gadus macrocephalus,117.128,81,,,10-Oct-18
EBS_SHELF,2001,1063016,1063295,1072640,200101,89,145,60.00819,-171.9758,59.98564,-171.95129,43,,,,,,,,,0,Y,Good performance,64,67,21720,Pacific cod,Gadus macrocephalus,205.476,187,,,10-Oct-18
EBS_SHELF,2001,1063016,1063298,1073827,200101,89,108,57.67739,-169.04221,57.65331,-169.04449,42,,,,,,,,,0,Y,Good performance,66,68,21720,Pacific cod,Gadus macrocephalus,79.306,80,,,10-Oct-18
EBS_SHELF,2001,1063016,1063299,1073478,200101,89,122,57.10584,-170.4454,57.1256,-170.4765,42,,,,,,,,,0,Y,Good performance,49,51,21720,Pacific cod,Gadus macrocephalus,41.059,84,,,10-Oct-18
EBS_SHELF,2001,1063016,1063301,1072330,200101,89,154,57.68012,-171.5356,57.65582,-171.5316,41,,,,,,,,,0,Y,Good performance,97,100,21720,Pacific cod,Gadus macrocephalus,6.775,4,,,10-Oct-18
EBS_SHELF,2001,1063016,1063303,1073257,200101,89,125,57.65449,-170.29041,57.67331,-170.2543,42,,,,,,,,,0,Y,Good performance,70,73,21720,Pacific cod,Gadus macrocephalus,14.4,26,,,10-Oct-18
