"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Gadus macrocephalus",1982,1,1,5099588.88872235,0.0877891512386073,421525.996829595
"Gadus macrocephalus",1983,1,1,5787248.96692335,0.0787161526769551,427339.206552109
"Gadus macrocephalus",1984,1,1,5159007.71794731,0.0856439152895935,417345.916806924
"Gadus macrocephalus",1985,1,1,5921368.40551542,0.0760128624554196,423681.578817666
"Gadus macrocephalus",1986,1,1,6129665.08354716,0.0775133470072965,447229.579635474
"Gadus macrocephalus",1987,1,1,5592323.27405057,0.0744824467464956,392604.477030515
"Gadus macrocephalus",1988,1,1,4569273.45869607,0.0810919564149796,350454.352435487
"Gadus macrocephalus",1989,1,1,4177172.17692784,0.0809083129065744,320154.066817851
"Gadus macrocephalus",1990,1,1,3354488.14230263,0.0881153503876504,280027.346367971
"Gadus macrocephalus",1991,1,1,2143953.28505418,0.0825931126816012,168583.264408171
"Gadus macrocephalus",1992,1,1,2435038.35427037,0.079241877327821,182616.668664637
"Gadus macrocephalus",1993,1,1,3167479.04174251,0.0747752571322208,223948.897038983
"Gadus macrocephalus",1994,1,1,5638711.03102554,0.0776036060121756,413438.627970189
"Gadus macrocephalus",1995,1,1,4546550.46719235,0.0814483620504685,350022.672939877
"Gadus macrocephalus",1996,1,1,4393352.03162251,0.0733279788050119,305942.5728192
"Gadus macrocephalus",1997,1,1,2873905.80743618,0.0768515761603334,208594.16895857
"Gadus macrocephalus",1998,1,1,2683475.27123292,0.0713413380106949,181599.03565325
"Gadus macrocephalus",1999,1,1,2109412.26174568,0.0883378527333082,177246.345392159
"Gadus macrocephalus",2000,1,1,2365072.73038999,0.0736756863999784,165307.780224893
"Gadus macrocephalus",2001,1,1,3732304.14209616,0.0726447801518513,257109.436535197
"Gadus macrocephalus",2002,1,1,2653488.13537098,0.0707702912558521,178394.713949845
"Gadus macrocephalus",2003,1,1,3148934.70413549,0.0714753396424808,212684.686162987
"Gadus macrocephalus",2004,1,1,2848089.42063408,0.0723221757619168,195871.589285383
"Gadus macrocephalus",2005,1,1,3218884.18326231,0.0747438650173307,228051.532779504
"Gadus macrocephalus",2006,1,1,2764445.89803935,0.0857771577893722,224694.36675822
"Gadus macrocephalus",2007,1,1,2081232.21446502,0.0863904305715414,170323.649213047
"Gadus macrocephalus",2008,1,1,1913574.12357334,0.0781689620447369,142725.043133859
"Gadus macrocephalus",2009,1,1,1685648.33293972,0.0792974971016745,126706.889047907
"Gadus macrocephalus",2010,1,1,2733290.20553016,0.0773353533498023,201644.586946955
"Gadus macrocephalus",2011,1,1,3917902.83818223,0.0737359761308212,274734.397200138
"Gadus macrocephalus",2012,1,1,3163183.30458247,0.0763556151747125,230297.711014303
"Gadus macrocephalus",2013,1,1,3917857.56525643,0.0757649276859307,280711.99208255
"Gadus macrocephalus",2014,1,1,5094392.78530179,0.0741351935453283,357318.185064788
"Gadus macrocephalus",2015,1,1,5278040.83308036,0.079873406393562,399989.389691833
"Gadus macrocephalus",2016,1,1,5157032.1151086,0.0707364838624902,345894.036650578
"Gadus macrocephalus",2017,1,1,3444687.93917374,0.0722525869306151,235420.421760945
"Opilio immature",1982,1,1,761917675.360294,0.153042028520124,107764402.620351
"Opilio immature",1983,1,1,755470707.322273,0.201167112162598,136099348.118298
"Opilio immature",1984,1,1,934826289.107644,0.321886934936561,258260630.072054
"Opilio immature",1985,1,1,370399885.636437,0.25336244279933,85249288.9724053
"Opilio immature",1986,1,1,782775095.68305,0.326572145114615,220541957.058361
"Opilio immature",1987,1,1,1917301949.75867,0.209414687589152,365877447.388913
"Opilio immature",1988,1,1,1524458091.41862,0.148373473366762,211600588.610691
"Opilio immature",1989,1,1,1369286080.2546,0.132308634731935,170218867.052666
"Opilio immature",1990,1,1,1201463182.81176,0.138481617707695,155812216.873289
"Opilio immature",1991,1,1,1459068442.46705,0.13628856884981,186067631.550167
"Opilio immature",1992,1,1,1165509089.78159,0.148214726238749,161086326.899749
"Opilio immature",1993,1,1,1637271330.14193,0.16591809807694,253621147.309646
"Opilio immature",1994,1,1,1505139841.70802,0.172143310793496,241635461.488313
"Opilio immature",1995,1,1,1563954896.21372,0.147599093086068,216247384.073445
"Opilio immature",1996,1,1,1364128460.44242,0.132680753151944,169777605.346401
"Opilio immature",1997,1,1,1000707036.64897,0.141312081054134,131916658.797297
"Opilio immature",1998,1,1,616835571.582832,0.153325356097411,88279652.2612135
"Opilio immature",1999,1,1,266972145.100996,0.159830112607496,39774929.4149785
"Opilio immature",2000,1,1,424039557.465433,0.171746932732136,67843089.6371713
"Opilio immature",2001,1,1,743448076.47613,0.181299657278098,125556768.196002
"Opilio immature",2002,1,1,235134920.518084,0.187206824771956,41228681.6982709
"Opilio immature",2003,1,1,400440068.098177,0.228140229534951,84792388.1193651
"Opilio immature",2004,1,1,430652009.273135,0.217388370036616,87381596.5443335
"Opilio immature",2005,1,1,651277399.870185,0.169000971234426,102689682.400859
"Opilio immature",2006,1,1,419690166.582998,0.15182989837777,59883681.5908287
"Opilio immature",2007,1,1,679159521.069624,0.147890453011197,94035770.6734721
"Opilio immature",2008,1,1,542048322.746498,0.140238016397737,71319067.0700817
"Opilio immature",2009,1,1,679436972.211872,0.148686552913311,94491204.2547407
"Opilio immature",2010,1,1,1396226976.12259,0.193681065252903,252615923.792864
"Opilio immature",2011,1,1,988936425.316087,0.164421252293664,152086498.098348
"Opilio immature",2012,1,1,703785938.570525,0.15412595177829,101554473.34305
"Opilio immature",2013,1,1,554331984.739199,0.130525643861355,67824900.9812607
"Opilio immature",2014,1,1,567162102.029864,0.125917550448739,67032779.8110377
"Opilio immature",2015,1,1,276303104.040532,0.155393947442411,40059009.3177331
"Opilio immature",2016,1,1,468919829.820496,0.250411649696984,109698848.232605
"Opilio immature",2017,1,1,898922260.785454,0.203641141236155,170963239.16625
"Opilio spawner",1982,1,1,769269379.870775,0.181228154999365,127450586.434371
"Opilio spawner",1983,1,1,384406229.399474,0.224733757447734,77527658.9576916
"Opilio spawner",1984,1,1,278925487.256177,0.276077739111897,67777973.1627916
"Opilio spawner",1985,1,1,68151361.631843,0.30289104556562,18544073.019371
"Opilio spawner",1986,1,1,223405858.674602,0.37403985867745,71517242.7486314
"Opilio spawner",1987,1,1,1035167504.28237,0.220068877572915,202603910.389531
"Opilio spawner",1988,1,1,965462817.701695,0.185116248154682,163964752.743487
"Opilio spawner",1989,1,1,1040359159.55843,0.176370621828609,168800626.002482
"Opilio spawner",1990,1,1,926170560.410273,0.177787886384571,151786536.432995
"Opilio spawner",1991,1,1,860292096.448109,0.17738997958752,141594958.627733
"Opilio spawner",1992,1,1,792654224.081528,0.179699723214235,129944854.120104
"Opilio spawner",1993,1,1,829841080.79156,0.200048970363774,154610132.106444
"Opilio spawner",1994,1,1,1089126065.27313,0.190122720843488,189688160.206183
"Opilio spawner",1995,1,1,1392575745.54882,0.179520760344921,228175015.33333
"Opilio spawner",1996,1,1,715611113.466914,0.183482583773846,120003306.380176
"Opilio spawner",1997,1,1,419325038.56264,0.196362900626626,76230814.1987957
"Opilio spawner",1998,1,1,225697543.79391,0.199209300943507,41472279.4900164
"Opilio spawner",1999,1,1,178347200.585181,0.20384831678436,33224010.4654607
