"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio immature",1982,1,1,7407021.47246399,0.148675997938564,989391.607329215
"Opilio immature",1983,1,1,7752470.75738302,0.319109294149608,2071319.19671916
"Opilio immature",1984,1,1,11873354.581176,0.425751498013901,4131515.1647327
"Opilio immature",1985,1,1,4990973.9692417,0.360380365913094,1496874.02616168
"Opilio immature",1986,1,1,9602364.7025916,0.369144220181363,2949607.37452303
"Opilio immature",1987,1,1,28744499.5456386,0.21450657695214,5504243.94292379
"Opilio immature",1988,1,1,19717832.3961038,0.172911762149222,3107881.17608166
"Opilio immature",1989,1,1,15131162.3441189,0.135031834698188,1866904.64561513
"Opilio immature",1990,1,1,10673357.7200905,0.14802952666362,1442375.73225735
"Opilio immature",1991,1,1,20550874.8112886,0.149729995372208,2814354.37379601
"Opilio immature",1992,1,1,16655144.0118701,0.171797463159657,2600677.8846128
"Opilio immature",1993,1,1,34883039.2696024,0.171756422767506,5477522.07420338
"Opilio immature",1994,1,1,25830701.6732687,0.189495803810526,4459277.97860785
"Opilio immature",1995,1,1,18463717.5641579,0.159471481595179,2689718.30888528
"Opilio immature",1996,1,1,11980326.5892801,0.147496708906824,1613660.36381043
"Opilio immature",1997,1,1,6366949.86683559,0.16754493332535,973192.457910208
"Opilio immature",1998,1,1,5171905.07947482,0.185915295259617,876095.490187365
"Opilio immature",1999,1,1,2727785.86551889,0.179446395299848,445935.903120966
"Opilio immature",2000,1,1,5518663.85709122,0.180567598956577,909796.669105893
"Opilio immature",2001,1,1,7728636.4815881,0.183382068222922,1291935.82450035
"Opilio immature",2002,1,1,2565510.45865392,0.204777183280685,477505.701025654
"Opilio immature",2003,1,1,6615803.75598895,0.251307793409955,1508554.18285986
"Opilio immature",2004,1,1,8983626.39942475,0.214222262730045,1751038.21501342
"Opilio immature",2005,1,1,9616705.93205951,0.164072100107131,1439845.4342348
"Opilio immature",2006,1,1,4217826.5719646,0.148667087638029,573504.900431428
"Opilio immature",2007,1,1,5920888.97925809,0.151563892539181,819382.082749026
"Opilio immature",2008,1,1,4408870.4840041,0.139568581654733,563035.023037049
"Opilio immature",2009,1,1,8443777.61189447,0.18193351362358,1402847.58435857
"Opilio immature",2010,1,1,27470842.9821005,0.195128519925873,4874044.83658825
"Opilio immature",2011,1,1,15984263.6102875,0.180436232326879,2624159.79533544
"Opilio immature",2012,1,1,9664436.63551243,0.174694840630911,1537530.33143636
"Opilio immature",2013,1,1,7431211.6822704,0.143124768244322,970818.895599552
"Opilio immature",2014,1,1,7162861.62122588,0.132506934419443,869889.762505115
"Opilio immature",2015,1,1,5304138.68307104,0.15848306350161,769355.722388288
"Opilio immature",2016,1,1,13486751.9222581,0.252383074874122,3093602.00756007
"Opilio immature",2017,1,1,23312770.1103988,0.205543886901726,4373070.81015229
"Opilio spawner",1982,1,1,17820149.5535439,0.201767176185395,3083417.48104727
"Opilio spawner",1983,1,1,9521175.78525058,0.235096788112127,1866965.89921659
"Opilio spawner",1984,1,1,5936503.3262318,0.282110630081195,1360311.60315044
"Opilio spawner",1985,1,1,1810078.27074044,0.362905831100089,523413.823021336
"Opilio spawner",1986,1,1,4025941.31753447,0.364676574738994,1173096.22575209
"Opilio spawner",1987,1,1,19416749.2484585,0.208141207135146,3482363.51661511
"Opilio spawner",1988,1,1,15630034.0358276,0.181497913647535,2467885.73066294
"Opilio spawner",1989,1,1,20482767.5311254,0.167994325801453,2991187.16787692
"Opilio spawner",1990,1,1,16483590.9420317,0.180167111278977,2576507.50745895
"Opilio spawner",1991,1,1,14978909.2394397,0.181953441725554,2372661.60790902
"Opilio spawner",1992,1,1,12537902.5237167,0.178767908027542,1947105.44099902
"Opilio spawner",1993,1,1,18744944.7671493,0.203356464772656,3310901.32772122
"Opilio spawner",1994,1,1,19040181.2604142,0.188712644089908,3118504.26182311
"Opilio spawner",1995,1,1,25427945.3050606,0.167897085908266,3723122.42976972
"Opilio spawner",1996,1,1,19208914.7655698,0.204313760335994,3427250.54140789
"Opilio spawner",1997,1,1,10911729.4503623,0.215669822493005,2048697.82174516
"Opilio spawner",1998,1,1,5545042.57800388,0.209645829903407,1011274.32234798
"Opilio spawner",1999,1,1,2926801.6041028,0.200446964130742,509599.72527236
"Opilio spawner",2000,1,1,5227420.20233782,0.204512707900452,930275.8016794
"Opilio spawner",2001,1,1,5013092.38177748,0.223162791865415,972514.399973408
"Opilio spawner",2002,1,1,2142930.99218643,0.202355431743571,376190.808681448
"Opilio spawner",2003,1,1,3216155.53073347,0.230747818879696,638960.645516457
"Opilio spawner",2004,1,1,5425664.49788912,0.249133859972417,1169319.37663938
"Opilio spawner",2005,1,1,5031718.03623712,0.22644153109015,983050.523540345
"Opilio spawner",2006,1,1,3385200.81555828,0.182023150557655,532374.616254501
"Opilio spawner",2007,1,1,4919901.27474086,0.181305470585381,774163.306276519
"Opilio spawner",2008,1,1,4862524.85890644,0.174862320124244,738629.089143887
"Opilio spawner",2009,1,1,5058370.08218091,0.183352779986887,806292.950187707
"Opilio spawner",2010,1,1,15160192.3547886,0.229188144976045,3009587.52185882
"Opilio spawner",2011,1,1,27173281.0276601,0.221847622434678,5251057.99278418
"Opilio spawner",2012,1,1,14097797.4116484,0.184357949035728,2260355.57792259
