"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,660067388.044608,0.128886022963527,76670354.1485456
1983,1,1,748596231.251735,0.186192784984514,121297119.965743
1984,1,1,958546475.902355,0.301839286858659,243786925.542532
1985,1,1,356108030.27765,0.237597226944119,72607703.0259005
1986,1,1,626628671.34129,0.271676153941774,145003411.315846
1987,1,1,1604731474.73561,0.169165462358673,244034693.215417
1988,1,1,1406150664.69717,0.146546855848388,187250282.055047
1989,1,1,1341903303.62463,0.120797542594307,147702315.365209
1990,1,1,1263240123.28653,0.128182255442036,147516315.959769
1991,1,1,1444054408.74728,0.127113385844453,167276438.613286
1992,1,1,1029409410.67057,0.139639858929696,130049944.890551
1993,1,1,1540230280.79365,0.160162487840853,224205352.841392
1994,1,1,1553788951.69604,0.163614589996534,230840914.073668
1995,1,1,1460829864.40109,0.130707582414888,173634866.001734
1996,1,1,1356871882.37461,0.118739636558261,146804011.899217
1997,1,1,923324375.851607,0.122583137831233,103284392.358668
1998,1,1,523207401.523112,0.133960003717169,63764645.8724766
1999,1,1,238317298.47714,0.140430011710754,30356468.7835216
2000,1,1,356832583.976048,0.15818955675957,51207497.2544801
2001,1,1,686278597.259044,0.166578688290279,103810633.62709
2002,1,1,225612599.252318,0.165256881802328,33809225.5578467
2003,1,1,372976594.342979,0.213027081654289,72010857.6270476
2004,1,1,377689245.92707,0.189321614614793,64897925.0662861
2005,1,1,654324856.262363,0.152735584264532,91252433.0858211
2006,1,1,410039841.797791,0.143609874026398,53715585.5603643
2007,1,1,643151081.935135,0.136103945123655,79764295.3557559
2008,1,1,501440411.060825,0.134667114087306,61583658.3833266
2009,1,1,600640807.881228,0.134760232878526,73633681.6707251
2010,1,1,1232741353.83479,0.178309973629624,199081971.970036
2011,1,1,871696860.044626,0.15594979031657,123101805.003536
2012,1,1,656405799.28872,0.140114552992247,83592206.3523604
2013,1,1,517840857.70384,0.121598140011056,57285701.5415205
2014,1,1,520420531.220345,0.122163384661012,58042558.240369
2015,1,1,299077906.200818,0.150389732250844,40948945.1503209
2016,1,1,527716180.644682,0.229243590206944,109807452.898464
2017,1,1,1025527324.64244,0.201398384328561,187489282.926497
